num_nodes,num_edges,graph_density,avg_degree,num_connected_component,failure_rate,bandwidth,latency,bully_time,bully_msg_count,ring_time,ring_msg_count,bi-dir_ring_time,bi-dir_msg_count,raft_time,raft_msg_count
4,3,.5000,1.5000,1,0.2,0.1,20,0.844448836688,11,,,2.46,19,,
4,3,.5000,1.5000,1,0.5,0.1,20,0.845518224947,11,,,2.46,19,,
4,3,.5000,1.5000,1,0.8,0.1,20,1.3142119807,11,,,2.46,19,,
4,3,.5000,1.5000,1,0.2,0.1,50,,,0,14,,
4,3,.5000,1.5000,1,0.5,0.1,50,0.874448836688,11,,,2.55,19,,
4,3,.5000,1.5000,1,0.8,0.1,50,0.8442119807,11,,,2.55,19,,
4,3,.5000,1.5000,1,0.2,0.1,80,0.8742119807,11,,,0,16,,
4,3,.5000,1.5000,1,0.5,0.1,80,1.3742119807,11,,,2.64,19,,
4,3,.5000,1.5000,1,0.8,0.1,80,0.904448836688,11,,,0,19,,
4,3,.5000,1.5000,1,0.2,1,20,,,0,14,,
4,3,.5000,1.5000,1,0.5,1,20,0.36,13,,,0.3,19,,
4,3,.5000,1.5000,1,0.8,1,20,0.285518224947,13,,,0.3,19,,
4,3,.5000,1.5000,1,0.2,1,50,0.34,9,,,0.39,19,,
4,3,.5000,1.5000,1,0.5,1,50,0.42,13,,,0.39,19,,
4,3,.5000,1.5000,1,0.8,1,50,0.34,11,,,0.39,21,,
4,3,.5000,1.5000,1,0.2,1,80,0.32,12,,,0,19,,
4,3,.5000,1.5000,1,0.5,1,80,0.4,13,,,0.48,19,,
4,3,.5000,1.5000,1,0.8,1,80,0.4,11,,,0.48,23,,
4,3,.5000,1.5000,1,0.2,10,20,0.081518224947,13,,,0.084,19,0.056,7
4,3,.5000,1.5000,1,0.5,10,20,0.081518224947,17,,,0.090454775821,19,0.112,9
4,3,.5000,1.5000,1,0.8,10,20,0.069518224947,9,,,0.084,19,0.112,9
4,3,.5000,1.5000,1,0.2,10,50,,,0,19,0.232,19
4,3,.5000,1.5000,1,0.5,10,50,,,0,14,,
4,3,.5000,1.5000,1,0.8,10,50,,,0,14,,
4,3,.5000,1.5000,1,0.2,10,80,,,0,14,,
4,3,.5000,1.5000,1,0.5,10,80,0.201518224947,13,,,0.264,19,0.176,26
4,3,.5000,1.5000,1,0.8,10,80,,,0,14,,
4,3,.5000,1.5000,1,0.2,100,20,,,0,14,0.0832,9
4,3,.5000,1.5000,1,0.5,100,20,0.046318224947,11,,,0.0624,23,0.0416,8
4,3,.5000,1.5000,1,0.8,100,20,0.046318224947,11,,,0.0624,23,0.0416,8
4,3,.5000,1.5000,1,0.2,100,50,,,0,14,,
4,3,.5000,1.5000,1,0.5,100,50,0.127118224947,17,,,0.1524,14,0.1016,18
4,3,.5000,1.5000,1,0.8,100,50,,,0,14,,
4,3,.5000,1.5000,1,0.2,100,80,,,0,14,0.1616,47
4,3,.5000,1.5000,1,0.5,100,80,0.1624,9,,,0.2424,19,0.1616,26
4,3,.5000,1.5000,1,0.8,100,80,0.1624,13,,,0.2424,19,0.1616,17
4,4,.6666,2.0000,1,0.2,0.01,20,,,0,18,,
4,4,.6666,2.0000,1,0.5,0.01,20,8.044448836688,15,,,24.06,14,,
4,4,.6666,2.0000,1,0.8,0.01,20,,,0,18,,
4,4,.6666,2.0000,1,0.2,0.01,50,8.074448836688,15,,,0,19,,
4,4,.6666,2.0000,1,0.5,0.01,50,8.074448836688,15,,,24.15,14,,
4,4,.6666,2.0000,1,0.8,0.01,50,8.5442119807,16,,,0,14,,
4,4,.6666,2.0000,1,0.2,0.01,80,8.105518224947,15,,,24.24,19,,
4,4,.6666,2.0000,1,0.5,0.01,80,8.5742119807,16,,,32.32,18,,
4,4,.6666,2.0000,1,0.8,0.01,80,,,0,18,,
4,4,.6666,2.0000,1,0.2,0.1,20,0.844448836688,14,,,4.1,22,,
4,4,.6666,2.0000,1,0.5,0.1,20,0.844448836688,15,,,4.1,22,,
4,4,.6666,2.0000,1,0.8,0.1,20,1.3142119807,15,,,0,14,,
4,4,.6666,2.0000,1,0.2,0.1,50,0.874448836688,15,,,3.4,18,,
4,4,.6666,2.0000,1,0.5,0.1,50,0.874448836688,15,,,3.4,27,,
4,4,.6666,2.0000,1,0.8,0.1,50,,,0,18,,
4,4,.6666,2.0000,1,0.2,0.1,80,0.904448836688,15,,,4.307092362088,22,,
4,4,.6666,2.0000,1,0.5,0.1,80,0.904448836688,14,,,4.4,22,,
4,4,.6666,2.0000,1,0.8,0.1,80,0.904448836688,15,,,2.64,14,,
4,4,.6666,2.0000,1,0.5,1,20,0.524448836688,21,,,0.3,14,,
4,4,.6666,2.0000,1,0.8,1,20,0.444448836688,20,,,0,19,,
4,4,.6666,2.0000,1,0.2,1,50,0.42,17,,,0.65,22,,
4,4,.6666,2.0000,1,0.5,1,50,0.4942119807,19,,,0.52,18,,
4,4,.6666,2.0000,1,0.8,1,50,0.4942119807,19,,,0.52,18,,
4,4,.6666,2.0000,1,0.2,1,80,0.5542119807,19,,,0.64,18,,
4,4,.6666,2.0000,1,0.5,1,80,0.4742119807,15,,,0.48,19,,
4,4,.6666,2.0000,1,0.8,1,80,0.48,20,,,0,19,,
4,4,.6666,2.0000,1,0.2,10,20,,,0,14,0.056,35
4,4,.6666,2.0000,1,0.5,10,20,0.109518224947,17,,,0.112,18,0.056,10
4,4,.6666,2.0000,1,0.8,10,20,,,0,18,0.056,24
4,4,.6666,2.0000,1,0.2,10,50,0.199518224947,17,,,0.29,22,0.116,37
4,4,.6666,2.0000,1,0.5,10,50,0.141518224947,19,,,0.232,18,0.116,10
4,4,.6666,2.0000,1,0.8,10,50,0.141518224947,16,,,0.174,19,0.116,11
4,4,.6666,2.0000,1,0.2,10,80,0.201518224947,16,,,0.264,19,0.176,41
4,4,.6666,2.0000,1,0.5,10,80,,,0,18,,
4,4,.6666,2.0000,1,0.8,10,80,,,0,14,0.176,40
4,4,.6666,2.0000,1,0.2,100,20,,,0,18,0.0416,24
4,4,.6666,2.0000,1,0.5,100,20,0.067118224947,19,,,0.0624,19,0.0416,11
4,4,.6666,2.0000,1,0.8,100,20,,,0,18,0.0416,24
4,4,.6666,2.0000,1,0.2,100,50,0.127118224947,19,,,0.2032,18,0.1016,10
4,4,.6666,2.0000,1,0.5,100,50,0.177918224947,21,,,0.1524,14,0.1016,28
4,4,.6666,2.0000,1,0.8,100,50,0.1524,19,,,0.2032,27,0.1016,12
4,4,.6666,2.0000,1,0.2,100,80,0.2424,19,,,0.3232,27,0.1616,28
4,4,.6666,2.0000,1,0.5,100,80,,,0,18,0.1616,106
4,4,.6666,2.0000,1,0.8,100,80,0.2424,20,,,0,19,0.1616,26
4,5,.8333,2.5000,1,0.2,0.01,20,8.5142119807,19,,,40.1,22,,
4,5,.8333,2.5000,1,0.5,0.01,20,8.5142119807,19,,,32.08,18,,
4,5,.8333,2.5000,1,0.8,0.01,20,8.044448836688,17,,,32.08,27,,
4,5,.8333,2.5000,1,0.2,0.01,50,8.5442119807,19,,,0,18,,
4,5,.8333,2.5000,1,0.5,0.01,50,8.074448836688,20,,,40.25,22,,
4,5,.8333,2.5000,1,0.8,0.01,50,8.5442119807,19,,,32.2,18,,
4,5,.8333,2.5000,1,0.2,0.01,80,8.5742119807,19,,,40.4,22,,
4,5,.8333,2.5000,1,0.5,0.01,80,8.5742119807,19,,,40.4,22,,
4,5,.8333,2.5000,1,0.8,0.01,80,8.5742119807,19,,,0,18,,
4,5,.8333,2.5000,1,0.2,0.1,20,0.844448836688,17,,,3.28,27,,
4,5,.8333,2.5000,1,0.5,0.1,20,1.3142119807,19,,,3.28,18,,
4,5,.8333,2.5000,1,0.8,0.1,20,1.3142119807,19,,,3.28,18,,
4,5,.8333,2.5000,1,0.2,0.1,50,1.3442119807,19,,,0,18,,
4,5,.8333,2.5000,1,0.5,0.1,50,1.3442119807,19,,,3.4,18,,
4,5,.8333,2.5000,1,0.8,0.1,50,1.3442119807,19,,,4.25,22,,
4,5,.8333,2.5000,1,0.2,0.1,80,0.904448836688,19,,,3.52,27,,
4,5,.8333,2.5000,1,0.5,0.1,80,1.3742119807,19,,,3.52,18,,
4,5,.8333,2.5000,1,0.8,0.1,80,1.3742119807,19,,,3.52,18,,
4,5,.8333,2.5000,1,0.2,1,20,0.364448836688,20,,,0.5,22,,
4,5,.8333,2.5000,1,0.5,1,20,0.444448836688,19,,,0.5,22,,
4,5,.8333,2.5000,1,0.8,1,20,0.444448836688,23,,,0.4,27,,
4,5,.8333,2.5000,1,0.2,1,50,0.5,23,,,0.52,27,,
4,5,.8333,2.5000,1,0.5,1,50,0.4142119807,20,,,0.52,18,,
4,5,.8333,2.5000,1,0.8,1,50,0.4142119807,17,,,0.52,18,,
4,5,.8333,2.5000,1,0.2,1,80,0.4742119807,20,,,0.8,22,,
4,5,.8333,2.5000,1,0.5,1,80,0.4742119807,20,,,0.8,22,,
4,5,.8333,2.5000,1,0.8,1,80,0.4742119807,20,,,0.64,18,,
4,5,.8333,2.5000,1,0.2,10,20,0.0822119807,20,,,0.112,18,0.056,15
4,5,.8333,2.5000,1,0.5,10,20,,,0,18,,
4,5,.8333,2.5000,1,0.8,10,20,0.0662119807,23,,,0.14,22,,
4,5,.8333,2.5000,1,0.2,10,50,,,0,18,0.116,43
